,of,item,id ov,ov,semana,data desejada,centro de trabalho,acabamento,blocos,ccs,virados,referência,semana minima,duração,semana precedencia,número de semanas,Código Material,Quantidade Material,Código Consumo,Quantidade Consumo,Descrição Consumo,Semana com mesma ref,aglomerado,c
34,385200648,130.0,18,3823001113.0,48,48,CRMEMBIN,Total,48.0,-1,0.0,BL CR 2549/000 915X915X152 00,48,48.0,47,1,70001226,48.0,70000861,48.0,BL CR 2549/000 915X915X152 NE,-1,-1,0
35,385199354,120.0,18,3823001113.0,48,48,CRMEMBIN,Total,48.0,-1,0.0,BL CR 1521/000 1270X660X152 00,48,48.0,47,1,70001224,48.0,70000850,48.0,BL CR 1521/000 1270X660X152 NE,-1,-1,0
36,385200287,110.0,18,3823001113.0,48,48,CRMEMBIN,Total,0.0,-1,0.0,CL CR N710 1067X635 00,48,0.06,47,1,70001173,4.0,70000934,4.0,CL CR N710 1067X635 NE,-1,-1,0
37,385200214,100.0,18,3823001113.0,48,48,CRMEMBIN,Total,0.0,-1,0.0,CL CR N180 1067X635 00,48,26.64,47,1,70001172,2.0,70001024,2.0,CL CR N180 1067X635 NE,-1,-1,0
38,385198740,90.0,18,3823001113.0,48,48,CRMEMBIN,Total,12.0,-1,0.0,BL CR N709/000 915X915X152 00,48,12.0,47,1,70001171,12.0,70000793,12.0,BL CR N709/000 915X915X152 NE,-1,-1,0
39,385198041,80.0,18,3823001113.0,48,48,CRMEMBIN,Total,18.0,-1,0.0,BL CR D100/000 915X915X152 00,48,18.0,47,1,70001169,18.0,70000795,18.0,BL CR D100/000 915X915X152 NE,-1,-1,0
40,385200453,70.0,18,3823001113.0,48,48,CRMEMBIN,Total,6.0,-1,0.0,BL CR H70L/000 915X915X152 00,48,6.0,47,1,70001168,6.0,70000761,6.0,BL CR H70L/000 915X915X152 NE,-1,-1,0
41,385199578,60.0,18,3823001113.0,48,48,CRMEMBIN,Total,48.0,-1,0.0,BL CR 1521/000 1270X760X152 01,48,48.0,47,1,70001166,48.0,70000848,48.0,BL CR 1521/000 1270X760X152 NE,-1,-1,0
42,385200647,50.0,18,3823001113.0,48,48,CRMEMBIN,Total,12.0,-1,0.0,BL CR NC60/000 915X915X152 00,48,12.0,47,1,70001125,12.0,70000776,12.0,BL CR NC60/000 915X915X152 NE,-1,-1,0
43,385200286,40.0,18,3823001113.0,48,48,CRMEMBIN,Total,0.0,-1,0.0,CL CR H160 1067X635 00,48,218.16,47,1,70001052,20.0,70000909,20.0,CL CR H160 1067X635 NE,-1,-1,0
44,385200213,30.0,18,3823001113.0,48,48,CRMEMBIN,Total,0.0,-1,0.0,CL CI 5017 1370X990 00,47,0.0,47,1,70001050,1.0,70000903,1.0,CL CI 5017 1370X990 NE,-1,-1,0
45,385200285,20.0,18,3823001113.0,48,48,CRMEMBIN,Total,24.0,-1,0.0,BL CR SP74/000 915X915X152 00,48,24.0,47,1,70001049,24.0,70000767,24.0,BL CR SP74/000 915X915X152 NE,-1,-1,0
46,385197511,110.0,17,3823001109.0,47,45,CCSSECME,Total,0.0,2304,0.0,"PL CC 8004/000 915X305X2,0 01",47,164.70000000000002,47,1,70013969,4200.0,70004512,2100.0,"PL CC 8004/000 940X640X2,0 NE",-1,-1,0
47,385198105,110.0,17,3823001109.0,47,45,CNMLAMPL,Total,17.304,2304,0.0,"PL CC 8004/000 940X640X2,0 NE",47,181.86,47,1,70004512,2100.0,70001620,17.304,BL CC 8004/000 940X640X250 NE,-1,-1,0
48,385197517,40.0,16,3823000950.0,47,46,CNMVSMEB,Total,0.0,-1,0.0,"RL CC 8202/000 1220X6,0-25M 02",47,150.66,47,1,70015494,60.0,70009229,60.0,"RL CC 8202/000 1220X6,0-25M NE",-1,-1,1
49,385197641,40.0,16,3823000950.0,47,46,CNMVSMRL,Total,0.0,-1,0.0,"RL CC 8202/000 1220X6,0-25M NE",47,150.66,47,1,70009229,60.0,70003556,11.343,CL CC 8202 1220X1100 NE,-1,-1,1
50,385197480,30.0,15,3823000949.0,48,48,CNMLAMPL,Total,30.301,-1,0.0,"PL CC 8747/000 1000X500X9,7 01",48,112.86,47,1,70003187,630.0,70012012,30.301,BL CC 8747/ORT 1000X500X210 NE,-1,-1,0
51,385197478,20.0,15,3823000949.0,48,48,CNMLAMPL,Total,30.3,-1,0.0,"PL CC 8747/000 1000X500X19,8 02",48,109.08,47,1,70003028,300.0,70012012,30.3,BL CC 8747/ORT 1000X500X210 NE,-1,-1,0
52,385197477,10.0,15,3823000949.0,48,48,CNMSERPL,Total,60.6,-1,0.0,"PL CC 8747/000 1000X500X29,8 01",48,360.0,47,1,70002998,360.0,70012012,60.6,BL CC 8747/ORT 1000X500X210 NE,-1,-1,0
53,385197599,40.0,14,3823000941.0,47,46,CNMLAMRL,Total,0.0,-1,0.0,"RL CC 8210/000 1000X9,8-10M NE",47,180.0,47,1,70006567,24.0,70003128,2.964,CL CC 8210 1000X1100 NE,-1,-1,0
54,385197506,40.0,14,3823000941.0,47,46,CNMEMBRL,Total,0.0,-1,0.0,"RL CC 8210/000 1000X9,8-10M 04",47,41.160000000000004,47,1,70005477,24.0,70006567,24.0,"RL CC 8210/000 1000X9,8-10M NE",-1,-1,0
55,385197659,10.0,13,3823000934.0,49,48,CNMLAMPL,Total,186.225,-1,0.0,"PL CC 8402/000 915X610X5,8 NE",48,855.12,47,1,70023770,6000.0,70005514,186.225,BL CC 8402/ORT 915X610X200 NE,-1,-1,0
56,385197522,10.0,13,3823000934.0,49,48,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8402/000 915X610X5,8 01",49,360.0,49,1,70023769,6000.0,70023770,6000.0,"PL CC 8402/000 915X610X5,8 NE",-1,-1,0
57,385197573,10.0,12,3823000928.0,49,46,CNMLAMPL,Total,410.484,-1,0.0,"PL CC 8002/000 915X610X6,0 NE",47,2255.1,47,1,70005565,16500.0,70005496,410.484,BL CC 8002/ORT 915X610X250 NE,-1,-1,0
58,385197497,10.0,12,3823000928.0,49,46,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8002/000 915X610X6,0 09",49,951.9,49,1,70004915,16500.0,70005565,16500.0,"PL CC 8002/000 915X610X6,0 NE",-1,-1,0
59,385197575,10.0,11,3823000925.0,49,46,CNMLAMPL,Total,422.813,-1,0.0,"PL CC 8002/000 915X610X12,0 NE",47,1742.94,47,1,70005571,8250.0,70005496,422.813,BL CC 8002/ORT 915X610X250 NE,-1,-1,0
60,385197498,10.0,11,3823000925.0,49,46,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8002/000 915X610X12,0 28",49,1031.28,49,1,70004916,8250.0,70005571,8250.0,"PL CC 8002/000 915X610X12,0 NE",-1,-1,0
61,385197658,40.0,10,3823000917.0,49,46,CNMLAMLX,Total,17.466,-1,0.0,"PL CC 8004/S21 940X640X5,0 NE",47,103.98,47,1,70023391,780.0,70001620,17.466,BL CC 8004/000 940X640X250 NE,-1,-1,0
62,385197518,40.0,10,3823000917.0,49,46,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8004/S21 940X640X5,0 01",49,78.0,49,1,70023364,780.0,70023391,780.0,"PL CC 8004/S21 940X640X5,0 NE",-1,-1,0
63,385197588,30.0,10,3823000917.0,49,46,CNMLAMLX,Total,6.182,-1,0.0,"PL CC 8004/S11 940X640X8,0 NE",47,30.84,47,1,70006016,180.0,70005850,6.182,BL CC 8004/ORT 940X640X250 NE,48,-1,0
64,385197473,30.0,10,3823000917.0,49,46,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8004/S11 940X640X8,0 01",49,13.5,49,1,70002761,180.0,70006016,180.0,"PL CC 8004/S11 940X640X8,0 NE",48,-1,0
65,385197586,20.0,10,3823000917.0,49,46,CNMLAMLX,Total,3.963,-1,0.0,"PL CC 8004/S11 940X640X6,0 NE",47,19.98,47,1,70006014,150.0,70005850,3.963,BL CC 8004/ORT 940X640X250 NE,48,-1,0
66,385197472,20.0,10,3823000917.0,49,46,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8004/S11 940X640X6,0 02",49,8.639999999999999,49,1,70002758,150.0,70006014,150.0,"PL CC 8004/S11 940X640X6,0 NE",48,-1,0
67,385197587,10.0,10,3823000917.0,49,46,CNMLAMLX,Total,5.091,-1,0.0,"PL CC 8004/S11 940X640X7,0 NE",47,28.799999999999997,47,1,70006015,168.0,70005850,5.091,BL CC 8004/ORT 940X640X250 NE,48,-1,0
68,385197471,10.0,10,3823000917.0,49,46,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8004/S11 940X640X7,0 02",49,11.46,49,1,70002757,168.0,70006015,168.0,"PL CC 8004/S11 940X640X7,0 NE",48,-1,0
69,385201563,10.0,9,3820016509.0,59,45,CRMRLMEI,Total,0.0,-1,0.0,"RL CR 2549/000 1000X6,0-11M BB",59,51.0,59,1,70014285,6.0,70007553,66.0,"RL CR 2549/000 1000X6,0 NE",-1,-1,0
70,385201579,10.0,9,3820016509.0,59,45,CRMLAMRL,Total,0.0,-1,0.0,"RL CR 2549/000 1000X6,0 NE",59,54.72,47,1,70007553,66.0,70000927,1.075,CL CR 2549 1092X762 NE,-1,-1,0
71,385197521,50.0,8,3820016492.0,49,47,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8058/PTH 1000X500X10,0 05",49,16.860000000000003,49,1,70023689,180.0,70005688,180.0,"PL CC 8058/PTH 1000X500X10,0 NE",-1,-1,0
72,385197581,50.0,8,3820016492.0,49,47,CNMLAMPL,Total,8.786,-1,0.0,"PL CC 8058/PTH 1000X500X10,0 NE",47,32.160000000000004,47,1,70005688,180.0,70005525,8.786,BL CC 8058/ORT 1000X500X210 NE,-1,-1,0
73,385197579,40.0,8,3820016492.0,49,47,CNMLAMPL,Total,13.129,-1,0.0,"PL CC 8058/PTH 1000X500X8,0 NE",47,55.980000000000004,47,1,70005686,333.0,70005525,13.129,BL CC 8058/ORT 1000X500X210 NE,-1,-1,0
74,385197461,40.0,8,3820016492.0,49,47,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8058/PTH 1000X500X8,0 01",49,24.959999999999997,49,1,70001956,333.0,70005686,333.0,"PL CC 8058/PTH 1000X500X8,0 NE",-1,-1,0
75,385197580,30.0,8,3820016492.0,49,47,CNMLAMPL,Total,10.254,-1,0.0,"PL CC 8058/PTH 1000X500X6,0 NE",47,47.82,47,1,70005687,350.0,70005525,10.254,BL CC 8058/ORT 1000X500X210 NE,-1,-1,0
76,385197462,30.0,8,3820016492.0,49,47,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8058/PTH 1000X500X6,0 01",49,20.220000000000002,49,1,70001957,350.0,70005687,350.0,"PL CC 8058/PTH 1000X500X6,0 NE",-1,-1,0
77,385197578,20.0,8,3820016492.0,49,47,CNMLAMPL,Total,5.914,-1,0.0,"PL CC 8058/PTH 1000X500X4,0 NE",47,31.62,47,1,70005684,300.0,70005525,5.914,BL CC 8058/ORT 1000X500X210 NE,-1,-1,0
78,385197460,20.0,8,3820016492.0,49,47,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8058/PTH 1000X500X4,0 01",49,11.82,49,1,70001954,300.0,70005684,300.0,"PL CC 8058/PTH 1000X500X4,0 NE",-1,-1,0
