,Material,Componente,FI0,Quantidade componente,col_bmeng
6461,70007482,70000902,0.008772,8.772,1000.0
6462,70007490,70000902,0.0057469999999999995,5.747,1000.0
6463,70007487,70000903,0.0028740000000000003,2.874,1000.0
6464,70007489,70000900,0.0028740000000000003,2.874,1000.0
6465,70007484,70000901,0.0057469999999999995,5.747,1000.0
6466,70007498,70000900,0.0014370000000000001,1.437,1000.0
6467,70007483,70000902,0.0057469999999999995,5.747,1000.0
6468,70007496,70000900,0.0057469999999999995,5.747,1000.0
6469,70007547,70000900,0.008772,8.772,1000.0
6470,70007481,70000902,0.0057469999999999995,5.747,1000.0
6471,70007550,70000905,0.0028250000000000003,2.825,1000.0
6472,70007551,70000905,0.00428,4.28,1000.0
6473,70007494,70001025,0.005263,5.263,1000.0
6474,70007495,70001025,0.01087,10.87,1000.0
6475,70007546,70000909,0.018868,18.868,1000.0
6476,70007619,70001013,0.003472,3.472,1000.0
6477,70007552,70000914,0.004367,4.367,1000.0
6478,70007624,70000911,0.006623,6.623,1000.0
6479,70007580,70000911,0.024399999999999998,24.4,1000.0
6480,70007877,70006990,0.09090909090909091,1.0,11.0
6481,70007889,70006990,0.045454545454545456,1.0,22.0
6482,70007885,70006990,0.05,1.0,20.0
6483,70007895,70007896,0.045454545454545456,1.0,22.0
6484,70007896,70007897,16.0,16.0,1.0
6486,70007891,70006838,0.045454545454545456,1.0,22.0
6487,70007890,70006697,0.045454545454545456,1.0,22.0
6488,70007882,70006697,0.05555555555555555,1.0,18.0
6489,70007878,70006697,0.07692307692307693,1.0,13.0
6490,70007887,70007749,0.05,1.0,20.0
6491,70007881,70007749,0.0625,1.0,16.0
6493,70007749,70024035,6.0,6.0,1.0
6494,70007893,70006840,0.045454545454545456,1.0,22.0
6495,70007880,70006840,0.07142857142857142,1.0,14.0
6496,70007876,70000911,0.04348,43.48,1000.0
6497,70007875,70000911,0.024390000000000002,24.39,1000.0
6498,70007874,70000941,0.00252,2.52,1000.0
6499,70007873,70000941,0.0050999999999999995,5.1,1000.0
6500,70007872,70000941,0.01299,12.99,1000.0
6501,70007871,70000941,0.02128,21.28,1000.0
6502,70007501,70001946,0.01667,16.67,1000.0
6503,70007755,70001946,0.03334,33.34,1000.0
6504,70007747,70001946,0.05,50.0,1000.0
6505,70007691,70001771,0.01667,16.67,1000.0
6506,70007558,70002268,0.01852,18.52,1000.0
6507,70007700,70001749,0.033333,33.333,1000.0
6508,70007739,70001970,0.013519999999999999,13.52,1000.0
6509,70007597,70002289,0.00211,2.11,1000.0
6510,70007743,70002603,0.006623,6.623,1000.0
6511,70007805,70002968,0.01516,15.16,1000.0
6512,70007553,70000927,0.015625,15.625,1000.0
6513,70007541,70003617,0.0042699999999999995,4.27,1000.0
6514,70007543,70007542,0.05,1.0,20.0
6515,70007542,70007541,46.0,46.0,1.0
6517,70007554,70004302,0.01667,16.67,1000.0
6518,70007693,70004781,0.00428,4.28,1000.0
6519,70007623,70004835,0.0057469999999999995,5.747,1000.0
6520,71000988,70005276,0.2,200.0,1000.0
6521,70009763,70006553,0.33333999999999997,333.34,1000.0
6522,70009764,70004733,0.33333999999999997,333.34,1000.0
6523,70009772,70006555,0.33333999999999997,333.34,1000.0
6524,72000227,70010452,0.5,500.0,1000.0
6525,72000029,70010451,0.5,120.0,240.0
6527,72000030,70012107,1.0,140.0,140.0
6529,72000030,72000208,1.0,140.0,140.0
6532,72000031,70012107,0.9450000000000001,132.3,140.0
6533,72000031,72000546,1.0,140.0,140.0
6534,72000626,72000211,1.0,100.0,100.0
6535,72000032,72000021,1.0,180.0,180.0
6537,72000234,72000194,0.24,240.0,1000.0
6538,70010163,70015576,0.009810000000000001,9.81,1000.0
6539,70010162,70003930,0.2,200.0,1000.0
6540,70009357,70009356,0.041665999999999995,41.666,1000.0
6541,72000034,70011130,0.25,160.0,640.0
6542,70023546,70023545,1.0,1000.0,1000.0
6543,72000035,70009377,0.03,30.0,1000.0
6544,72000036,70001926,0.5,500.0,1000.0
6545,70010121,70003995,0.5,500.0,1000.0
6546,72000615,70000360,0.018518489583333336,71.111,3840.0
6547,72000409,70000360,0.025,135.0,5400.0
6548,72000244,70000099,0.022222000000000002,22.222,1000.0
6549,70010870,70000075,0.026,26.0,1000.0
6550,72000038,70010699,0.96,960.0,1000.0
6551,72000039,70000363,0.5,1250.0,2500.0
6552,70012098,70000033,0.0625,37.5,600.0
6553,70012099,70000362,0.5,500.0,1000.0
6554,70012100,70000076,0.25,80.0,320.0
6555,70012101,70002090,0.16666666666666666,60.0,360.0
6556,70010068,70010069,0.0625,62.5,1000.0
6557,70009305,70009304,1.0,1000.0,1000.0
6558,70009330,70009328,1.0,1000.0,1000.0
6559,70011835,70000015,0.08334,83.34,1000.0
6560,70007209,70003861,0.33333999999999997,333.34,1000.0
6561,70011722,70000018,0.33333999999999997,333.34,1000.0
6562,70011716,70000094,0.5,500.0,1000.0
6563,70005566,70000021,0.5,500.0,1000.0
6564,70011720,70000023,0.14286000000000001,142.86,1000.0
6565,70007279,70000026,0.125,125.0,1000.0
6566,70011719,70000016,0.5,500.0,1000.0
6567,70011723,70001909,0.5,500.0,1000.0
6568,70005617,70000072,0.5,500.0,1000.0
6569,70009362,70009361,1.0,1000.0,1000.0
6571,70009284,70009283,1.0,1000.0,1000.0
6572,70011526,70003929,0.5,500.0,1000.0
6573,70011525,70004439,0.16666999999999998,166.67,1000.0
6574,70011458,70005832,0.25,250.0,1000.0
6575,70011459,70005834,0.125,125.0,1000.0
6576,70009369,70009365,1.0,1000.0,1000.0
6577,70009368,70009364,1.0,1000.0,1000.0
6578,70009370,70009366,1.0,1000.0,1000.0
6579,70005563,70003755,1.0,1000.0,1000.0
6580,70011419,70003675,0.5,500.0,1000.0
6581,70011418,70003900,0.5,500.0,1000.0
6582,70011258,70000113,0.25,250.0,1000.0
6583,70007842,70007843,5.0,5.0,1.0
6584,70011166,70011172,0.084133,84.133,1000.0
6585,70011165,70004311,0.0625,62.5,1000.0
6586,70011140,70004310,0.0625,62.5,1000.0
6587,70011131,70011148,1.0,1000.0,1000.0
6588,70007866,70007837,1.0,1000.0,1000.0
6589,70011078,70000031,0.14286000000000001,142.86,1000.0
6590,70009324,70011478,0.33332999999999996,333.33,1000.0
6591,70009321,70009319,1.0,1000.0,1000.0
6592,70009320,70011584,1.0,1000.0,1000.0
6593,70009323,70011584,1.0,1000.0,1000.0
6594,70010978,70003726,0.16666999999999998,166.67,1000.0
6595,70010979,70005724,0.055560000000000005,55.56,1000.0
6596,70005562,70000475,0.5,500.0,1000.0
6597,70010889,70004402,0.16666999999999998,166.67,1000.0
6598,70010894,70000090,0.16666999999999998,166.67,1000.0
6599,70010891,70003714,0.16666999999999998,166.67,1000.0
6600,70010890,70000360,0.16666999999999998,166.67,1000.0
6601,70010886,70000090,0.25,250.0,1000.0
6602,70010885,70000089,0.25,250.0,1000.0
6603,70010884,70003713,0.25,250.0,1000.0
6604,70010883,70003714,0.25,250.0,1000.0
6605,70010879,70000090,0.5,500.0,1000.0
6606,70010878,70000089,0.5,500.0,1000.0
6607,70010877,70003713,0.5,500.0,1000.0
6608,70010876,70003714,0.5,500.0,1000.0
6609,70010875,70000360,0.5,500.0,1000.0
6610,70010888,70003914,0.5,500.0,1000.0
6611,70005574,70002083,0.11112000000000001,111.12,1000.0
6612,70005576,70000276,0.11112000000000001,111.12,1000.0
6613,70010797,70003808,0.11112000000000001,111.12,1000.0
6614,70009317,70009315,1.0,160.0,160.0
6615,70009288,70009286,1.0,384.0,384.0
6616,70009287,70009285,1.0,288.0,288.0
6617,70010702,70010899,1.0,1000.0,1000.0
6618,70010563,70003913,0.2,200.0,1000.0
6619,70010562,70006348,0.25,250.0,1000.0
6620,70010561,70003913,0.25,250.0,1000.0
6621,70010559,70006348,0.5,500.0,1000.0
6622,70010560,70003913,0.33333999999999997,333.34,1000.0
6623,70010558,70003913,0.5,500.0,1000.0
6624,70010545,70002684,0.5,500.0,1000.0
6625,70010465,70000034,0.5,500.0,1000.0
6626,70005558,70000039,0.33333999999999997,333.34,1000.0
6627,70005559,70000040,0.5,500.0,1000.0
6629,72001620,41000315,0.10464,104.64,1000.0
6630,70009300,70009299,1.0,1000.0,1000.0
6631,72000040,70011194,0.1,1000.0,10000.0
6632,70012102,70000760,0.05,50.0,1000.0
6633,72000566,70004082,0.05,40.0,800.0
6634,72000382,90100271,1.0,1000.0,1000.0
6636,72000382,72000103,1.0,1000.0,1000.0
6637,72000429,90100272,1.0,1000.0,1000.0
6638,72000429,72000104,1.0,1000.0,1000.0
6639,72000434,90100273,1.0,1000.0,1000.0
6640,72000434,72000105,1.0,1000.0,1000.0
6641,72000042,90100320,2.0,2000.0,1000.0
6642,72000042,72000113,1.0,1000.0,1000.0
6643,70009371,70009372,1.0,1000.0,1000.0
6644,70009342,70009340,1.0,1000.0,1000.0
6645,70009343,70011594,0.33333300000000005,333.333,1000.0
6646,70009341,70009337,1.0,1000.0,1000.0
6647,70009349,70011596,0.33332999999999996,333.33,1000.0
6648,70009347,70009345,1.0,1000.0,1000.0
6649,70009346,70011596,1.0,1000.0,1000.0
6651,70008039,70014658,15.0,15.0,1.0
6652,70007855,70007856,15.25,15.25,1.0
6653,70005596,70005595,0.055560000000000005,55.56,1000.0
6654,70010241,70003819,0.084,84.0,1000.0
6655,70005560,70002685,0.5,500.0,1000.0
6656,70005557,70005556,0.5,500.0,1000.0
6657,70007945,70014931,60.0,60.0,1.0
6659,70009149,70009150,1.0,1.0,1.0
6660,70007861,70024001,24.0,24000.0,1000.0
6661,70007832,70007833,10.0,10000.0,1000.0
6662,70007831,70007833,15.0,15.0,1.0
6665,71005057,71005056,1.0,1000.0,1000.0
6666,70007869,70007868,50.0,50.0,1.0
6668,70009041,70009042,1.0,1.0,1.0
6669,70009038,70009040,25.0,25.0,1.0
6671,70007825,70002755,0.020730000000000002,20.73,1000.0
6672,70010210,70005980,1.0,1000.0,1000.0
6673,70010209,70005986,1.0,1000.0,1000.0
6674,70010206,70010202,1.0,1000.0,1000.0
6675,70010205,70004593,1.0,1000.0,1000.0
6676,70005597,70004563,1.0,1000.0,1000.0
6677,70010204,70004413,1.0,1000.0,1000.0
6678,70010203,70004414,1.0,1000.0,1000.0
6679,70010191,70005162,0.16666999999999998,166.67,1000.0
6680,70010181,70004484,1.0,1000.0,1000.0
6681,70010180,70004519,1.0,1000.0,1000.0
6682,70010179,70004520,1.0,1000.0,1000.0
6683,70005579,70004397,1.0,1000.0,1000.0
6684,70010177,70004415,1.0,1000.0,1000.0
6685,70005575,70004398,1.0,1000.0,1000.0
6686,70010200,70003872,1.0,1000.0,1000.0
6687,70010199,70004400,1.0,1000.0,1000.0
6688,70010201,70004399,1.0,1000.0,1000.0
6689,70010182,70006192,1.0,1000.0,1000.0
6691,70009153,70009154,1.0,1.0,1.0
6693,70009155,70009156,1.0,1.0,1.0
6694,71000989,70009439,0.055560000000000005,55.56,1000.0
6695,70009492,70004693,0.33333999999999997,333.34,1000.0
6696,70009493,70004693,0.2,200.0,1000.0
6697,70009500,70004693,0.1,100.0,1000.0
6698,70009451,70009459,0.04546,45.46,1000.0
6699,70009452,70009460,0.05,50.0,1000.0
6700,70009456,70009459,0.005059999999999999,5.06,1000.0
6701,70009455,70009462,0.03847,38.47,1000.0
6702,70009447,70009466,0.08334,83.34,1000.0
6703,70009448,70009466,0.08334,83.34,1000.0
6704,70009464,70009461,0.11112000000000001,111.12,1000.0
6705,71000990,70009461,0.11112000000000001,111.12,1000.0
6706,70010174,70004191,0.02084,20.84,1000.0
6707,70009454,70009460,0.04167,41.67,1000.0
6708,70009453,70009459,0.04167,41.67,1000.0
6709,70007857,70007858,3.0,3000.0,1000.0
6710,70007849,70007850,10.271,10271.0,1000.0
6711,70007859,70007860,3.0,3000.0,1000.0
6712,70009408,70009407,1.0,1000.0,1000.0
6713,70008015,70008446,0.5,500.0,1000.0
6714,70007557,70007556,0.5,500.0,1000.0
6715,70021913,70003937,0.1,100.0,1000.0
6716,70008413,70008406,0.5,500.0,1000.0
