,c,semana,quantidade
349,70003793,34,0.0
350,70003793,35,0.0
351,70003793,36,0.0
352,70003793,37,0.0
353,70003793,38,0.0
354,70003793,39,0.0
355,70003793,40,0.0
356,70003793,41,0.0
357,70003793,42,114.0
358,70003793,43,0.0
359,70003793,44,0.0
360,70003793,45,0.0
361,70003793,46,0.0
362,70003793,47,0.0
363,70003793,48,0.0
364,70003793,49,110.0
365,70003793,50,0.0
366,70003793,51,0.0
367,70003793,52,0.0
368,70003793,53,0.0
369,70003793,54,0.0
370,70003793,55,0.0
371,70001725,3,0.0
372,70001725,4,0.0
373,70001725,5,0.0
374,70001725,6,0.0
375,70001725,7,0.0
376,70001725,8,0.0
377,70001725,9,0.0
378,70001725,10,0.0
379,70001725,11,0.0
380,70001725,12,0.0
381,70001725,13,0.0
382,70001725,14,0.0
383,70001725,15,0.0
384,70001725,16,0.0
385,70001725,17,0.0
386,70001725,18,0.0
387,70001725,19,0.0
388,70001725,20,0.0
389,70001725,21,0.0
390,70001725,22,0.0
391,70001725,23,0.0
392,70001725,24,0.0
393,70001725,25,0.0
394,70001725,26,0.0
395,70001725,27,0.0
396,70001725,28,0.0
397,70001725,29,0.0
398,70001725,30,0.0
399,70001725,31,0.0
400,70001725,32,0.0
401,70001725,33,0.0
402,70001725,34,0.0
403,70001725,35,0.0
404,70001725,36,0.0
405,70001725,37,0.0
406,70001725,38,0.0
407,70001725,39,0.0
408,70001725,40,0.0
409,70001725,41,0.0
410,70001725,42,0.0
411,70001725,43,0.0
412,70001725,44,0.0
413,70001725,45,0.0
414,70001725,46,0.0
415,70001725,47,0.0
416,70001725,48,0.0
417,70001725,49,0.0
418,70001725,50,0.0
419,70001725,51,0.0
420,70001725,52,0.0
421,70001725,53,0.0
422,70001725,54,0.0
423,70001725,55,0.0
424,70002130,3,0.0
425,70002130,4,0.0
426,70002130,5,0.0
427,70002130,6,0.0
428,70002130,7,0.0
429,70002130,8,0.0
430,70002130,9,0.0
431,70002130,10,0.0
432,70002130,11,0.0
433,70002130,12,0.0
434,70002130,13,0.0
435,70002130,14,0.0
436,70002130,15,0.0
437,70002130,16,0.0
438,70002130,17,0.0
439,70002130,18,0.0
440,70002130,19,0.0
441,70002130,20,0.0
