Nome planejador,Status ordem de produção,Tipo de Ordem de produção/planeada,Ordem Venda / Transferência,Item OV/Transferência,Data de criação da ov,Sold to,Responsável SAC,Ordem de produção / planeada,Data-base do início,Data-base do fim,Data desejada de saída de mercadoria,Semana saída de mercadoria,Material de produção,Texto breve de material,Quantidade total da ordem,Componente,Descritivo componente,Qtd.necessária,Descritivo de Centro de Trabalho,Centro de trabalho,Duração da operação,País Destino,Quantidade fornecida ordem de produção
CRM - Transformaçã,ABER,ZRSE,3823000504.0,80.0,,,,1600072824.0,29/07/2021,30/07/2021,,0.0,71000081,QD CI 5351/OCL 27-Z 164 NE,29.0,71000917,QD CI 5351/000 27-Z 164 NE,29.0,CRM-COLAR QUADROS,CRMCOLQD,0.906,,0.0
CRM - Transformaçã,ABER,ZRSE,3823000504.0,80.0,,,,1600072825.0,29/07/2021,30/07/2021,,0.0,71000917,QD CI 5351/000 27-Z 164 NE,29.0,70000956,BL CI 5351/000 950X650X200 NE,8.44,CRM-SERRA,CRMSERRA,2.661,,0.0
CCS,ABER,ZCEJ,3823000504.0,90.0,04/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600072826.0,23/07/2021,23/07/2021,22/06/2021,202130.0,71000157,"JT CI 5351/000 128-L 3,2 00",2500.0,71001232,"JT CI 5351/000 128-L 3,2 NE",2500.0,CCS-EMBALAGEM KITS/DIVERSOS,CCSEBKDV,0.25,US,0.0
CCS,ABER,ZCJT,3823000504.0,90.0,,,,1600072827.0,23/07/2021,23/07/2021,,0.0,71001232,"JT CI 5351/000 128-L 3,2 NE",2500.0,70008365,"RL CI 5351/T02 197X3,2-44M NE",1.0,CCS-PRECO,CCSPRECO,0.139,,0.0
CRM - Transformaçã,ABER,ZRSE,3823000504.0,90.0,,,,1600072828.0,22/07/2021,23/07/2021,,0.0,70008365,"RL CI 5351/T02 197X3,2-44M NE",1.0,70008380,"RL CI 5351/T02 1067X3,2-44M NE",1.0,CRM-SERRA,CRMSERRA,0.033,,0.0
CRM - Transformaçã,ABER,ZRRL,3823000504.0,90.0,,,,1600072829.0,22/07/2021,23/07/2021,,0.0,70008380,"RL CI 5351/T02 1067X3,2-44M NE",1.0,70000981,"RL CI 5351/T02 1050X3,2 NE",44.0,CRM-MEI,CRMRLMEI,0.256,,0.0
CRM - Transformaçã,ABER,ZRRL,3823000504.0,90.0,,,,1600072830.0,22/07/2021,23/07/2021,,0.0,70000981,"RL CI 5351/T02 1050X3,2 NE",44.0,70000905,CL CI 5351 1067X990 NE,0.219,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,0.425,,0.0
CCS,ABER,ZCEJ,3823000504.0,100.0,04/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600072831.0,29/07/2021,29/07/2021,22/06/2021,202131.0,71000158,"JT CI 5351/000 21-Z 2,4 00",3000.0,71001244,"JT CI 5351/000 21-Z 2,4 NE",3000.0,CCS-EMBALAGEM JUNTAS,CCSEMBJT,0.001,US,0.0
CCS,ABER,ZCJT,3823000504.0,100.0,,,,1600072832.0,29/07/2021,29/07/2021,,0.0,71001244,"JT CI 5351/000 21-Z 2,4 NE",3000.0,71000424,"FQ CI 5351/000 21-Z 2,4 NE",1500.0,CCS-CUNHAGEM JUNTAS,CCSBALJT,1.449,,0.0
CRM - Transformaçã,ABER,ZRPL,3823000504.0,100.0,,,,1600072833.0,29/07/2021,30/07/2021,,0.0,71000424,"FQ CI 5351/000 21-Z 2,4 NE",1500.0,71000075,QD CI 5351/OCL 21-Z 164 NE,22.0,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,3.75,,0.0
