Centro trabalho,Semana,Capacidade
CRMLAMRL,17,0.06
CRMLAMRL,18,0.06
CRMLAMRL,19,0
CRMLAMRL,20,0
CRMLAMRL,21,0
CRMLAMRL,22,0
CRMLAMRL,23,0.22
CRMLAMRL,24,0.25
CRMLAMRL,25,0.06
CRMLAMRL,26,0.06
CRMLAMRL,27,0.06
CRMLAMRL,28,0
CRMLAMRL,29,0
CRMLAMRL,30,0
CRMLAMRL,31,0
CRMLAMRL,32,0.22
CRMLAMRL,33,0.25
CRMLAMRL,34,0.06
CRMLAMRL,35,0.06
CRMLAMRL,36,0.06
CRMLAMRL,37,0
CRMLAMRL,38,0
CRMLAMRL,39,0
CRMLAMRL,40,0
CRMLAMRL,41,0.22
CRMLAMRL,42,0.25
CRMLAMRL,43,0.06
CRMLAMRL,44,0.06
CRMLAMRL,45,0.06
CRMLAMRL,46,0
CRMLAMRL,47,0
CRMLAMRL,48,0
CRMLAMRL,49,0
CRMLAMRL,50,0
CRMLAMRL,51,0
CRMLAMRL,52,0
CNMLAMMM,1,0
CNMLAMMM,2,0
CNMLAMMM,3,0
CNMLAMMM,4,0
CNMLAMMM,5,0.22
CNMLAMMM,6,0.25
CNMLAMMM,7,0.06
CNMLAMMM,8,0.06
CNMLAMMM,9,0.06
CNMLAMMM,10,0
CNMLAMMM,11,0
CNMLAMMM,12,0
CNMLAMMM,13,0
CNMLAMMM,14,0.22
CNMLAMMM,15,0.25
CNMLAMMM,16,0.06
CNMLAMMM,17,0.06
CNMLAMMM,18,0.06
CNMLAMMM,19,0
CNMLAMMM,20,0
CNMLAMMM,21,0
CNMLAMMM,22,0
CNMLAMMM,23,0.22
CNMLAMMM,24,0.25
CNMLAMMM,25,0.06
CNMLAMMM,26,0.06
CNMLAMMM,27,0.06
CNMLAMMM,28,0
CNMLAMMM,29,0
CNMLAMMM,30,0
CNMLAMMM,31,0
CNMLAMMM,32,0.22
CNMLAMMM,33,0.25
CNMLAMMM,34,0.06
CNMLAMMM,35,0.06
CNMLAMMM,36,0.06
CNMLAMMM,37,0
CNMLAMMM,38,0
CNMLAMMM,39,0
CNMLAMMM,40,0
CNMLAMMM,41,0.22
CNMLAMMM,42,0.25
CNMLAMMM,43,0.06
CNMLAMMM,44,0.06
CNMLAMMM,45,0.06
CNMLAMMM,46,0
CNMLAMMM,47,0
CNMLAMMM,48,0
CNMLAMMM,49,0
CNMLAMMM,50,0
CNMLAMMM,51,0
CNMLAMMM,52,0
CRMSERRA,1,0
CRMSERRA,2,0
CRMSERRA,3,0
CRMSERRA,4,0
CRMSERRA,5,0.22
CRMSERRA,6,0.25
CRMSERRA,7,0.06
CRMSERRA,8,0.06
CRMSERRA,9,0.06
CRMSERRA,10,0
CRMSERRA,11,0
CRMSERRA,12,0
CRMSERRA,13,0
CRMSERRA,14,0.22
CRMSERRA,15,0.25
CRMSERRA,16,0.06
CRMSERRA,17,0.06
CRMSERRA,18,0.06
CRMSERRA,19,0
CRMSERRA,20,0
CRMSERRA,21,0
CRMSERRA,22,0
CRMSERRA,23,0.22
CRMSERRA,24,0.25
CRMSERRA,25,0.06
CRMSERRA,26,0.06
CRMSERRA,27,0.06
CRMSERRA,28,0
CRMSERRA,29,0
CRMSERRA,30,0
CRMSERRA,31,0
CRMSERRA,32,0.22
CRMSERRA,33,0.25
CRMSERRA,34,0.06
CRMSERRA,35,0.06
CRMSERRA,36,0.06
CRMSERRA,37,0
CRMSERRA,38,0
CRMSERRA,39,0
CRMSERRA,40,0
CRMSERRA,41,0.22
CRMSERRA,42,0.25
CRMSERRA,43,0.06
CRMSERRA,44,0.06
CRMSERRA,45,0.06
CRMSERRA,46,0
CRMSERRA,47,0
CRMSERRA,48,0
CRMSERRA,49,0
CRMSERRA,50,0
CRMSERRA,51,0
CRMSERRA,52,0
CNMLAMMA,1,0
CNMLAMMA,2,0
CNMLAMMA,3,0
CNMLAMMA,4,0
CNMLAMMA,5,0.22
CNMLAMMA,6,0.25
CNMLAMMA,7,0.06
CNMLAMMA,8,0.06
CNMLAMMA,9,0.06
CNMLAMMA,10,0
CNMLAMMA,11,0
CNMLAMMA,12,0
CNMLAMMA,13,0
CNMLAMMA,14,0.22
CNMLAMMA,15,0.25
CNMLAMMA,16,0.06
