,Ordem Venda / Transferência,data_substituir,semana
688,3823000930.0,2021-11-20,46
689,3823000931.0,2021-12-25,51
690,3823000933.0,2021-12-10,49
691,3823000935.0,2021-12-17,50
692,3823000939.0,2021-11-27,47
693,3823000940.0,2021-12-25,51
694,3823000945.0,2021-12-11,49
695,3823000946.0,2021-11-16,46
696,3823000947.0,2021-11-19,46
697,3823000948.0,2021-11-19,46
698,3823000949.0,2021-12-09,49
699,3823000951.0,2021-12-10,49
700,3823000952.0,2021-11-20,46
701,3823000960.0,2021-12-10,49
702,3823000962.0,2021-11-26,47
703,3823000966.0,2021-11-27,47
704,3823000967.0,2021-12-18,50
705,3823000968.0,2021-12-11,49
706,3823000977.0,2021-11-20,46
707,3823000978.0,2021-11-27,47
708,3823000979.0,2021-11-27,47
709,3823000982.0,2021-11-24,47
710,3823000984.0,2021-12-04,48
711,3823000986.0,2021-12-11,49
712,3823000987.0,2021-12-18,50
713,3823001006.0,2021-11-26,47
714,3823001008.0,2021-11-26,47
715,3823001009.0,2021-11-26,47
716,3823001010.0,2021-11-26,47
717,3823001011.0,2021-11-26,47
718,3823001012.0,2021-11-26,47
719,3823001013.0,2021-11-26,47
720,3823001014.0,2021-12-09,49
721,3823001015.0,2021-12-03,48
722,3823001017.0,2021-11-26,47
723,3823001018.0,2021-12-03,48
724,3823001019.0,2021-11-12,45
725,3823001020.0,2021-12-03,48
726,3823001022.0,2021-12-03,48
727,3823001023.0,2021-12-03,48
728,3823001024.0,2021-12-03,48
729,3823001025.0,2021-12-03,48
730,3823001026.0,2021-12-10,49
731,3823001027.0,2021-12-03,48
732,3823001028.0,2021-12-10,49
733,3823001029.0,2021-12-17,50
734,3823001031.0,2021-12-10,49
735,3823001034.0,2021-12-10,49
736,3823001036.0,2021-12-10,49
737,3823001038.0,2021-12-10,49
738,3823001039.0,2021-12-10,49
739,3823001040.0,2021-12-10,49
740,3823001045.0,2021-12-11,49
741,3823001049.0,2021-11-19,46
742,3823001050.0,2021-12-17,50
743,3823001051.0,2021-12-04,48
744,3823001052.0,2021-11-09,45
745,3823001053.0,2021-11-27,47
746,3823001055.0,2021-11-20,46
747,3823001058.0,2021-12-11,49
748,3823001059.0,2021-11-27,47
749,3823001060.0,2021-11-27,47
750,3823001061.0,2021-12-11,49
751,3823001064.0,2021-11-20,46
752,3823001066.0,2021-11-26,47
753,3823001067.0,2021-11-27,47
754,3823001068.0,2021-11-27,47
755,3823001069.0,2021-11-27,47
756,3823001070.0,2021-11-27,47
757,3823001071.0,2021-11-27,47
758,3823001072.0,2021-12-03,48
759,3823001073.0,2021-12-03,48
760,3823001074.0,2021-12-03,48
761,3823001075.0,2021-12-03,48
762,3823001076.0,2021-12-03,48
763,3823001077.0,2021-11-27,47
764,3823001078.0,2021-11-27,47
765,3823001087.0,2021-12-03,48
766,3823001089.0,2021-11-26,47
767,3823001092.0,2021-12-03,48
768,3823001093.0,2021-12-03,48
769,3823001094.0,2021-12-03,48
770,3823001095.0,2021-12-03,48
771,3823001096.0,2021-11-20,46
772,3823001107.0,2021-11-26,47
773,3823001108.0,2021-12-04,48
774,3823001109.0,2021-11-18,46
775,3823001113.0,2021-11-26,47
776,3823001114.0,2021-12-10,49
777,3823001115.0,2021-12-04,48
778,3826000001.0,2021-10-15,41
779,3826000005.0,2021-12-30,52
