,codigo material,material c,fator incorporação
831,70003473,70003473,0.09090909090909091
832,70010787,70010787,0.09090909090909091
833,70003471,70010787,1.0
834,70006707,70010787,1.0
835,70003748,70003748,1.0
836,70013499,70013499,1.0
837,72000953,70013499,0.016666666666666666
838,70010715,70010715,0.016666666666666666
839,70010716,70010715,1.0
840,70006196,70006196,1.0
841,70002923,70002923,1.0
842,70006263,70006263,1.0
843,70006264,70006264,1.0
844,70007330,70007330,1.0
845,70003843,70003843,1.0
846,70003956,70003956,1.0
847,70010763,70010763,1.0
848,70023086,70023086,1.0
849,70023087,70023086,1.0
850,70023100,70023100,1.0
851,70023101,70023100,1.0
852,70023103,70023103,1.0
853,70023104,70023103,1.0
854,70023089,70023089,1.0
855,70023090,70023089,1.0
856,70023097,70023097,1.0
857,70023098,70023097,1.0
858,70023091,70023091,1.0
859,70023093,70023091,1.0
860,70023107,70023107,1.0
861,70023095,70023107,1.0
862,70024097,70024097,1.0
863,70024096,70024097,1.0
864,70003932,70003932,1.0
865,70002106,70002106,1.0
866,70002107,70002107,1.0
867,70002105,70002105,1.0
868,70002436,70002436,1.0
869,70002181,70002181,1.0
870,70011330,70011330,1.0
871,70002108,70002108,1.0
872,70002182,70002182,1.0
873,70002437,70002437,1.0
874,70002438,70002438,1.0
875,70005722,70005722,1.0
876,70005096,70005096,1.0
877,70005097,70005097,1.0
878,70005098,70005098,1.0
879,70005099,70005099,1.0
880,70005100,70005100,1.0
881,70015299,70015299,1.0
882,70007684,70007684,1.0
883,70003774,70003774,1.0
884,70011002,70011002,1.0
885,70007607,70007607,1.0
886,70011000,70011000,1.0
887,72000811,72000811,1.0
888,72000811,72000811,1.0
889,70007605,70007605,1.0
890,70002853,70002853,1.0
891,70010350,70010350,1.0
892,70006917,70006917,1.0
893,70006816,70006816,1.0
894,70010347,70010347,1.0
895,70005491,70005491,1.0
896,70003048,70003048,1.0
897,70015611,70015611,1.0
898,70015441,70015442,1.0
899,70015442,70015442,1.0
900,70009296,70009296,1.0
901,70009299,70009296,1.0
902,70005557,70005557,1.0
903,70001928,70005557,1.0
904,70023668,70023668,1.0
905,70005176,70005176,1.0
906,70005278,70005278,1.0
907,70010549,70010549,1.0
908,70004647,70004647,1.0
909,70004648,70004648,1.0
910,70005235,70005235,1.0
911,70015571,70015571,1.0
912,70024826,70024826,1.0
913,70001770,70001770,1.0
914,70006910,70006910,1.0
915,70006911,70006911,1.0
916,70010493,70010493,1.0
917,70001681,70001681,1.0
918,70006939,70006939,1.0
919,70006942,70006942,1.0
920,70014026,70014026,1.0
921,70014027,70014027,1.0
922,70014727,70014727,1.0
923,70023564,70023564,1.0
924,70014731,70014731,1.0
925,70023507,70023507,1.0
926,70011221,70011221,1.0
927,70009297,70009297,1.0
928,70009301,70009297,1.0
929,70000646,70000646,1.0
930,70009149,70009149,1.0
931,70005997,70009149,1.0
932,70000651,70000651,1.0
933,70021667,70021667,1.0
934,70007842,70007843,5.0
