,ov,semana_algoritmo,semana_plan_real
76,3823000751.0,-1,41
77,3823000750.0,-1,45
78,3823000749.0,-1,47
79,3823000747.0,-1,44
80,3823000746.0,-1,39
81,3823000745.0,-1,39
82,3823000744.0,-1,42
83,3823000743.0,-1,43
84,3823000742.0,-1,43
85,3823000740.0,-1,50
86,3823000739.0,-1,44
87,3823000738.0,-1,46
88,3823000736.0,-1,40
89,3823000735.0,-1,44
90,3823000734.0,-1,39
91,3823000732.0,-1,39
92,3823000728.0,-1,45
93,3823000727.0,-1,44
94,3823000726.0,-1,40
95,3823000724.0,-1,43
96,3823000723.0,-1,43
97,3823000722.0,-1,43
98,3823000721.0,-1,43
99,3823000720.0,-1,42
100,3823000719.0,-1,44
101,3823000718.0,-1,43
102,3823000717.0,-1,39
103,3823000716.0,-1,39
104,3823000714.0,-1,37
105,3823000713.0,-1,37
106,3823000712.0,-1,43
107,3823000710.0,-1,42
108,3823000709.0,-1,42
109,3823000708.0,-1,42
110,3823000707.0,-1,43
111,3823000704.0,-1,40
112,3823000701.0,-1,42
113,3823000700.0,-1,40
114,3823000699.0,-1,42
115,3823000698.0,-1,42
116,3823000697.0,-1,40
117,3823000696.0,-1,35
118,3823000694.0,-1,31
119,3823000693.0,-1,40
120,3823000692.0,-1,40
121,3823000690.0,-1,40
122,3823000689.0,-1,44
123,3823000688.0,-1,40
124,3823000687.0,-1,39
125,3823000686.0,-1,41
126,3823000685.0,-1,41
127,3823000682.0,-1,41
128,3823000679.0,-1,41
129,3823000676.0,-1,41
130,3823000675.0,-1,44
131,3823000672.0,-1,39
132,3823000670.0,-1,41
133,3823000666.0,-1,40
134,3823000664.0,-1,36
135,3823000660.0,-1,41
136,3823000659.0,-1,41
137,3823000657.0,-1,39
138,3823000651.0,-1,41
139,3823000650.0,-1,39
140,3823000649.0,-1,39
141,3823000647.0,-1,41
142,3823000646.0,-1,40
143,3823000645.0,-1,39
144,3823000644.0,-1,42
145,3823000641.0,-1,30
146,3823000637.0,-1,51
147,3823000634.0,-1,39
148,3823000632.0,-1,29
149,3823000631.0,-1,41
150,3823000626.0,-1,36
151,3823000625.0,-1,38
152,3823000623.0,-1,28
153,3823000622.0,-1,38
154,3823000620.0,-1,40
155,3823000617.0,-1,40
156,3823000610.0,-1,42
157,3823000609.0,-1,40
158,3823000605.0,-1,42
159,3823000604.0,-1,40
160,3823000589.0,-1,38
161,3823000587.0,-1,52
162,3823000586.0,-1,38
163,3823000583.0,-1,40
164,3823000582.0,-1,40
165,3823000574.0,-1,51
166,3823000572.0,-1,38
167,3823000571.0,-1,40
168,3823000567.0,-1,38
169,3823000565.0,-1,28
170,3823000559.0,-1,40
171,3823000546.0,-1,37
172,3823000544.0,-1,39
173,3823000543.0,-1,36
