,of,item,id ov,ov,semana,data desejada,centro de trabalho,acabamento,blocos,ccs,virados,referência,semana minima,duração,semana precedencia,número de semanas
64,1600075316,10.0,16,3823000559.0,36,36,CRMLAMRL,Qualquer,0.0,-1,0.0,"RL CR 2549/T01 1067X1,5 NE",36,2688.0,28,1
65,1600079694,10.0,16,3823000559.0,36,36,CRMLAMRL,Qualquer,0.0,-1,0.0,"RL CR 2549/T01 1067X1,5 NE",36,2208.0,28,1
66,1600075313,10.0,17,3823000557.0,28,28,CRMRLMEI,Qualquer,0.0,-1,0.0,"RL CR 2549/T01 1067X1,5-304M 01",28,2245.98,28,1
67,1600079693,10.0,17,3823000557.0,28,28,CRMRLMEI,Qualquer,0.0,-1,0.0,"RL CR 2549/T01 1067X1,5-304M 01",28,1844.9399999999998,28,1
68,1600075312,10.0,17,3823000557.0,28,28,CRMLAMRL,Qualquer,0.0,-1,0.0,"RL CR 2549/T01 1067X1,5 NE",28,2688.0,28,1
69,1600079692,10.0,17,3823000557.0,28,28,CRMLAMRL,Qualquer,0.0,-1,0.0,"RL CR 2549/T01 1067X1,5 NE",28,2208.0,28,1
70,1600074838,30.0,18,3823000548.0,36,35,CNMLAMRL,Qualquer,0.0,-1,0.0,"PL CC 8210/000 1220X915X5,8 00",35,499.98,28,1
71,1600074835,20.0,18,3823000548.0,36,35,CNMLAMPL,Qualquer,141.4,-1,0.0,"PL CC 8403/000 915X610X12,5 NE",36,516.9,28,1
72,1600074834,20.0,18,3823000548.0,36,35,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CC 8403/000 915X610X12,5 01",36,349.98,36,1
73,1600074837,10.0,18,3823000548.0,36,35,CNMVSMRL,Qualquer,0.0,-1,0.0,"RL CC 8210/000 1220X5,8-15,25M NE",35,296.15999999999997,28,1
74,1600074836,10.0,18,3823000548.0,36,35,CNMVSMEB,Qualquer,0.0,-1,0.0,"RL CC 8210/000 1220X5,8-15,25M 01",35,296.15999999999997,36,1
75,1600074843,40.0,19,3823000543.0,36,35,CNMLAMPL,Qualquer,72.1,-1,0.0,"PL CI 5608/000 915X610X12,5 NE",36,258.48,28,1
76,1600074842,40.0,19,3823000543.0,36,35,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CI 5608/000 915X610X12,5 01",36,175.01999999999998,36,1
77,1600074840,30.0,19,3823000543.0,36,35,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CI 5608/000 915X610X5,8 01",36,242.28000000000003,36,1
78,1600074841,30.0,19,3823000543.0,36,35,CNMLAMPL,Qualquer,100.623,-1,0.0,"PL CI 5608/000 915X610X5,8 NE",36,574.02,28,1
79,1600073719,20.0,20,3823000540.0,36,34,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CI 5608/000 915X610X5,8 01",36,444.24,36,1
80,1600073721,20.0,20,3823000540.0,36,34,CNMLAMPL,Qualquer,184.476,-1,0.0,"PL CI 5608/000 915X610X5,8 NE",36,1052.3999999999999,28,1
81,1600073718,10.0,20,3823000540.0,36,34,CNMLAMPL,Qualquer,180.25,-1,0.0,"PL CI 5608/000 915X610X12,5 NE",36,646.14,28,1
82,1600073717,10.0,20,3823000540.0,36,34,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CI 5608/000 915X610X12,5 01",36,437.52,36,1
83,1600074162,40.0,21,3823000531.0,38,28,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR N733/000 915X915X1,6 00",28,49.5,38,1
84,1600074163,40.0,21,3823000531.0,38,28,CRMLAMPL,Qualquer,12.47,-1,0.0,"PL CR N733/000 915X915X1,6 NE",28,287.46000000000004,28,1
85,1600074161,30.0,21,3823000531.0,38,28,CRMLAMPL,Printing,13.975,-1,0.0,"PL CR H70L/PAL 915X915X1,6 NE",28,252.71999999999997,28,1
86,1600074159,20.0,21,3823000531.0,38,28,CRMLAMPL,Printing,7.2,-1,0.0,"PL CR N709/PAL 915X915X1,2 NE",28,198.18,28,1
87,1600074155,10.0,21,3823000531.0,28,28,CRMLAMPL,Qualquer,162.4,-1,0.0,"PL CR 2549/T01 915X915X1,5 NE",28,2250.84,28,1
88,1600074156,10.0,21,3823000531.0,38,28,CRMGUILH,Qualquer,0.0,-1,0.0,"PL CR 2549/000 915X457X1,5 NE",30,1740.0,28,4
89,1600074157,10.0,21,3823000531.0,38,28,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR 2549/000 915X457X1,5 00",38,649.62,38,1
90,1600074147,150.0,22,3823000527.0,34,34,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR 2549/T01 1270X760X1,2 01",34,127.98,28,1
91,1600074148,150.0,22,3823000527.0,34,34,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR 2549/T01 1270X760X1,2 01",34,127.98,28,1
92,1600073660,140.0,23,3823000527.0,36,30,CRMLAMPL,Qualquer,37.445,-1,0.0,"PL CR 2549/T01 1270X760X1,6 NE",36,2899.98,28,1
93,1600073661,140.0,23,3823000527.0,36,30,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR 2549/T01 1270X760X1,6 01",36,149.70000000000002,36,1
94,1600073658,100.0,24,3823000527.0,30,29,CRMLAMPL,Qualquer,67.5,-1,0.0,"PL CR N733/000 915X915X7,5 NE",30,667.44,28,1
95,1600073657,100.0,24,3823000527.0,30,29,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR N733/000 915X915X7,5 01",30,270.0,30,1
96,1600073653,70.0,24,3823000527.0,30,29,CRMLAMPL,Qualquer,18.0,-1,0.0,"PL CI 5252/000 950X650X5,0 NE",30,172.79999999999998,28,1
97,1600073652,70.0,24,3823000527.0,30,29,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CI 5252/000 940X640X5,0 00",30,87.24,30,1
98,1600073473,220.0,25,3823000525.0,34,34,CNMLAMPL,E01,1.978,-1,0.0,"PL CC 8004/E01 915X610X10,0 NE",34,8.58,28,1
99,1600073471,210.0,25,3823000525.0,34,34,CNMLAMPL,E01,1.358,-1,0.0,"PL CC 8004/E01  915X610X6,0  NE",34,7.38,28,1
100,1600073469,200.0,25,3823000525.0,34,34,CNMLAMPL,E01,1.36,-1,0.0,"PL CC 8004/E01  915X610X5,0  NE",34,7.5600000000000005,28,1
101,1600073467,190.0,25,3823000525.0,34,34,CNMLAMPL,E01,2.472,-1,0.0,"PL CC 8004/E01 1000X500X20,0 NE",34,8.76,28,1
102,1600073465,180.0,25,3823000525.0,34,34,CNMLAMPL,E01,5.151,-1,0.0,"PL CC 8004/E01 1000X500X15,0 NE",34,18.84,28,1
103,1600073461,170.0,25,3823000525.0,34,34,CNMLAMPL,E01,3.924,-1,0.0,"PL CC 8004/E01 1000X500X10,0 NE",34,14.28,28,1
104,1600073459,160.0,25,3823000525.0,34,34,CNMLAMPL,E01,3.247,-1,0.0,"PL CC 8004/E01 1000X500X6,0 NE",34,14.219999999999999,28,1
105,1600073457,150.0,25,3823000525.0,34,34,CNMLAMPL,E01,7.848,-1,0.0,"PL CC 8004/E01 1000X500X5,0  NE",34,36.78,28,1
106,1600073453,140.0,25,3823000525.0,34,34,CNMLAMPL,E01,19.025,-1,0.0,"PL CC 8004/E01 1000X500X4,0  NE",34,101.22,28,1
107,1600073451,130.0,25,3823000525.0,34,34,CNMLAMPL,E01,3.121,-1,0.0,"PL CC 8004/E01 1000X500X3,0  NE",34,20.520000000000003,28,1
108,1600073449,120.0,25,3823000525.0,34,34,CNMLAMPL,E01,3.142,-1,0.0,"PL CC 8004/E01 1000X500X2,0  NE",34,24.959999999999997,28,1
109,1600073447,110.0,25,3823000525.0,34,34,CNMLAMPL,E01,1.319,-1,0.0,"PL CC 8004/E01 915X610X10,0 NE",34,5.7,28,1
110,1600073445,100.0,25,3823000525.0,34,34,CNMLAMPL,E01,0.679,-1,0.0,"PL CC 8004/E01  915X610X6,0  NE",34,3.66,28,1
111,1600073443,90.0,25,3823000525.0,34,34,CNMLAMPL,E01,1.36,-1,0.0,"PL CC 8004/E01  915X610X5,0  NE",34,7.5600000000000005,28,1
112,1600073441,80.0,25,3823000525.0,34,34,CNMLAMPL,E01,7.416,-1,0.0,"PL CC 8004/E01 1000X500X20,0 NE",34,26.16,28,1
113,1600073439,70.0,25,3823000525.0,34,34,CNMLAMPL,E01,7.358,-1,0.0,"PL CC 8004/E01 1000X500X15,0 NE",34,26.88,28,1
114,1600073434,60.0,25,3823000525.0,34,34,CNMLAMPL,E01,7.848,-1,0.0,"PL CC 8004/E01 1000X500X10,0 NE",34,28.56,28,1
115,1600073432,50.0,25,3823000525.0,34,34,CNMLAMPL,E01,8.118,-1,0.0,"PL CC 8004/E01 1000X500X6,0 NE",34,35.519999999999996,28,1
116,1600073430,40.0,25,3823000525.0,34,34,CNMLAMPL,E01,7.848,-1,0.0,"PL CC 8004/E01 1000X500X5,0  NE",34,36.78,28,1
117,1600073428,30.0,25,3823000525.0,34,34,CNMLAMPL,E01,19.025,-1,0.0,"PL CC 8004/E01 1000X500X4,0  NE",34,101.22,28,1
118,1600073426,20.0,25,3823000525.0,34,34,CNMLAMPL,E01,6.241,-1,0.0,"PL CC 8004/E01 1000X500X3,0  NE",34,41.040000000000006,28,1
119,1600073424,10.0,25,3823000525.0,34,34,CNMLAMPL,E01,3.142,-1,0.0,"PL CC 8004/E01 1000X500X2,0  NE",34,24.959999999999997,28,1
120,1600073416,30.0,26,3823000517.0,34,34,CNMLAMPL,E01,1.978,-1,0.0,"PL CC 8004/E01 915X610X10,0 NE",34,8.58,28,1
121,1600073414,20.0,26,3823000517.0,34,34,CNMLAMPL,E01,0.679,-1,0.0,"PL CC 8004/E01  915X610X6,0  NE",34,3.66,28,1
122,1600073412,10.0,26,3823000517.0,34,34,CNMLAMPL,E01,0.68,-1,0.0,"PL CC 8004/E01  915X610X5,0  NE",34,3.7800000000000002,28,1
123,1600071776,20.0,27,3823000502.0,36,30,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CI 5608/000 915X610X5,8 01",36,403.86,36,1
124,1600071777,20.0,27,3823000502.0,36,30,CNMLAMPL,Qualquer,167.705,-1,0.0,"PL CI 5608/000 915X610X5,8 NE",31,956.7,28,1
125,1600071775,10.0,27,3823000502.0,36,30,CNMLAMPL,Qualquer,198.275,-1,0.0,"PL CI 5608/000 915X610X12,5 NE",31,710.76,28,1
126,1600071774,10.0,27,3823000502.0,36,30,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CI 5608/000 915X610X12,5 01",36,481.26000000000005,36,1
127,1600069981,20.0,30,3823000490.0,29,28,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CI 5608/000 915X610X5,8 01",29,444.24,29,1
128,1600069982,20.0,30,3823000490.0,29,28,CNMLAMPL,Qualquer,184.476,-1,0.0,"PL CI 5608/000 915X610X5,8 NE",29,1052.3999999999999,28,1
129,1600069980,10.0,30,3823000490.0,29,28,CNMLAMPL,Qualquer,180.25,-1,0.0,"PL CI 5608/000 915X610X12,5 NE",28,646.14,28,1
130,1600069979,10.0,30,3823000490.0,29,28,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CI 5608/000 915X610X12,5 01",28,437.52,29,1
131,1600070281,90.0,31,3823000481.0,28,28,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR 2549/T01 1270X760X1,6 01",28,74.82000000000001,28,1
132,1600070282,90.0,31,3823000481.0,28,28,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR 2549/T01 1270X760X1,6 01",28,74.82000000000001,28,1
133,1600059488,10.0,32,3823000397.0,29,28,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CI 5608/000 915X610X5,8 01",29,848.1,29,1
134,1600059487,10.0,32,3823000397.0,29,28,CNMLAMPL,Qualquer,352.18,-1,0.0,"PL CI 5608/000 915X610X5,8 NE",29,2009.1,28,1
135,1600057753,60.0,33,3823000370.0,50,50,CRMLAMPL,Printing,6.088,-1,0.0,"PL CR 1521/PFM 1270X660X3,2 NE",50,112.02,28,1
136,1600056631,60.0,34,3823000365.0,50,50,CRMLAMPL,Printing,6.088,-1,0.0,"PL CR 1521/PFM 1270X660X3,2 NE",50,112.02,28,1
137,1600054768,40.0,35,3823000341.0,50,50,CRMLAMPL,Printing,66.0,-1,0.0,"PL CR 1521/PFM 1270X660X1,5 NE",50,1999.8,28,2
138,1600054766,30.0,35,3823000341.0,50,50,CRMLAMPL,Printing,109.57,-1,0.0,"PL CR 1521/PFM 915X915X3,2 NE",50,1394.0400000000002,28,1
139,1600054762,20.0,35,3823000341.0,50,50,CRMLAMPL,Printing,42.0,-1,0.0,"PL CR 1521/PFM 1270X760X1,5 NE",50,1272.6000000000001,28,1
140,1600054760,10.0,35,3823000341.0,50,50,CRMLAMPL,Printing,43.092,-1,0.0,"PL CR 1521/PFM 1270X660X2,3 NE",50,852.78,28,1
141,1600051520,220.0,36,3823000328.0,50,50,CRMLAMPL,Printing,12.175,-1,0.0,"PL CR 1521/PFM 915X915X3,2 NE",50,154.92,28,1
142,1600051518,210.0,36,3823000328.0,50,50,CRMLAMPL,Printing,12.0,-1,0.0,"PL CR 1521/PFM 1270X660X1,5 NE",50,363.59999999999997,28,1
143,1600051516,200.0,36,3823000328.0,50,50,CRMLAMPL,Printing,12.312,-1,0.0,"PL CR 1521/PFM 1270X660X2,3 NE",50,243.66,28,1
144,1600049523,30.0,37,3823000303.0,50,50,CRMLAMPL,Printing,6.0,-1,0.0,"PL CR 1521/PFM 1270X760X1,5 NE",50,181.79999999999998,28,1
145,1600049521,20.0,37,3823000303.0,50,50,CRMLAMPL,Printing,12.175,-1,0.0,"PL CR 1521/PFM 915X915X3,2 NE",50,154.92,28,1
146,1600049499,10.0,37,3823000303.0,50,50,CRMLAMPL,Printing,18.0,-1,0.0,"PL CR 1521/PFM 1270X660X1,5 NE",50,545.4,28,1
147,1600059178,30.0,38,3823000267.0,50,50,CRMLAMPL,Printing,6.088,-1,0.0,"PL CR 1521/PFM 1270X660X3,2 NE",50,112.02,28,1
148,1600059179,20.0,38,3823000267.0,50,50,CRMLAMPL,Printing,6.0,-1,0.0,"PL CR 1521/PFM 1270X760X1,5 NE",50,181.79999999999998,28,1
149,1600043898,10.0,39,3823000263.0,28,28,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CI 5608/000 915X610X5,8 01",28,848.1,28,1
150,1600043899,10.0,39,3823000263.0,28,28,CNMLAMPL,Qualquer,352.18,-1,0.0,"PL CI 5608/000 915X610X5,8 NE",28,2009.1,28,1
151,1600059107,40.0,40,3823000228.0,50,50,CRMLAMPL,Printing,6.0,-1,0.0,"PL CR 1521/PFM 1270X660X1,5 NE",50,181.79999999999998,28,1
152,1600059118,10.0,40,3823000228.0,50,50,CRMLAMPL,Printing,12.312,-1,0.0,"PL CR 1521/PFM 1270X660X2,3 NE",50,243.66,28,1
153,1600059106,40.0,41,3823000226.0,50,50,CRMLAMPL,Printing,6.0,-1,0.0,"PL CR 1521/PFM 1270X660X1,5 NE",50,181.79999999999998,28,1
154,1600059117,10.0,41,3823000226.0,50,50,CRMLAMPL,Printing,12.312,-1,0.0,"PL CR 1521/PFM 1270X660X2,3 NE",50,243.66,28,1
155,1600079455,60.0,44,3820011885.0,34,30,CNMSERPL,Qualquer,11.784,-1,0.0,"PL CC 8747/000 1000X500X29,8 01",30,70.02,28,1
156,1600079454,50.0,44,3820011885.0,31,30,CNMLAMPL,Qualquer,20.2,-1,0.0,"PL CC 8747/000 1000X500X19,8 02",31,72.72,28,1
157,1600079453,40.0,44,3820011885.0,33,30,CNMLAMPL,Qualquer,30.301,-1,0.0,"PL CC 8747/000 1000X500X9,7 01",31,112.86,28,1
158,1600079452,30.0,44,3820011885.0,33,30,CNMLAMPL,Qualquer,11.02,-1,0.0,"PL CC 8747/000 1000X500X4,7 01",31,52.86,28,1
159,1600079451,20.0,44,3820011885.0,33,30,CNMLAMPL,Qualquer,9.961,-1,0.0,"PL CC 8747/000 1000X500X2,9 01",31,68.7,28,1
160,1600079449,10.0,44,3820011885.0,34,30,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CC 8747/000 1000X500X1,8 01",34,22.5,33,1
